<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KHD,20191218,11.90,12.00,11.80,11.80,1200,11.90,12.00,11.80,11.80,0,1000,0
KHD,20191217,11.90,11.90,11.90,11.90,1670,11.90,11.90,11.90,11.90,0,600,0
KHD,20191216,11.90,11.90,11.90,11.90,600,11.90,11.90,11.90,11.90,0,0,0
KHD,20191213,12.00,12.30,11.60,12.30,2500,12.00,12.30,11.60,12.30,0,1000,0
KHD,20191212,12.10,12.10,12.10,12.10,200,12.10,12.10,12.10,12.10,0,200,0
KHD,20191211,12.10,12.10,12.10,12.10,1900,12.10,12.10,12.10,12.10,0,1300,0
KHD,20191210,12.20,12.20,12.10,12.10,700,12.20,12.20,12.10,12.10,0,500,0
KHD,20191209,12.10,12.10,12.10,12.10,3800,12.10,12.10,12.10,12.10,0,3800,0
KHD,20191206,12.00,12.10,12.00,12.10,4800,12.00,12.10,12.00,12.10,0,400,0
KHD,20191205,12.00,12.20,12.00,12.20,6340,12.00,12.20,12.00,12.20,0,3700,0
KHD,20191204,12.30,12.30,11.20,11.90,1700,12.30,12.30,11.20,11.90,0,100,0
KHD,20191203,12.40,12.40,12.20,12.20,2100,12.40,12.40,12.20,12.20,0,1500,0
KHD,20191202,12.40,12.40,12.30,12.40,2300,12.40,12.40,12.30,12.40,0,1100,0
KHD,20191129,12.30,12.50,12.30,12.50,2830,12.30,12.50,12.30,12.50,0,2000,0
KHD,20191128,12.30,12.30,12.30,12.30,3320,12.30,12.30,12.30,12.30,0,1300,0
KHD,20191127,12.50,12.50,12.30,12.30,1340,12.50,12.50,12.30,12.30,0,0,0
KHD,20191126,12.00,12.20,11.80,12.00,4850,12.00,12.20,11.80,12.00,0,2800,0
KHD,20191125,13.10,13.10,11.20,13.00,9990,13.10,13.10,11.20,13.00,0,1600,0
KHD,20191122,13.10,13.10,13.10,13.10,4600,13.10,13.10,13.10,13.10,0,3500,0
KHD,20191121,14.50,14.50,13.10,13.10,6310,14.50,14.50,13.10,13.10,0,3400,0
KHD,20191120,15.60,15.60,14.50,14.50,3400,15.60,15.60,14.50,14.50,0,14700,0
KHD,20191119,14.21,14.26,12.21,12.63,32050,27.00,27.10,23.20,24.00,0,14700,0
KHD,20191118,15.00,15.00,13.69,14.26,26385,28.50,28.50,26.00,27.10,0,15600,0
KHD,20191115,14.32,15.00,14.21,14.74,15070,27.20,28.50,27.00,28.00,0,500,0
KHD,20191114,12.73,14.05,10.52,14.00,27294,24.20,26.70,20.00,26.60,270,500,0
KHD,20191113,12.42,12.42,12.26,12.26,8405,23.60,23.60,23.30,23.30,0,3800,0
KHD,20191112,12.63,12.85,12.11,12.42,3700,24.00,24.40,23.00,23.60,0,0,0
KHD,20191111,11.73,12.05,11.63,11.74,12830,22.30,22.90,22.10,22.30,0,6000,0
KHD,20191108,11.58,12.37,11.42,11.84,9250,22.00,23.50,21.70,22.50,0,1400,0
KHD,20191107,11.58,12.05,11.58,11.63,1700,22.00,22.90,22.00,22.10,0,700,0
KHD,20191106,11.79,11.79,11.58,11.58,6670,22.40,22.40,22.00,22.00,0,5200,0
KHD,20191105,11.48,11.69,11.48,11.58,20440,21.80,22.20,21.80,22.00,0,0,100
KHD,20191104,11.00,13.58,11.00,13.53,1912,20.90,25.80,20.90,25.70,0,0,100
KHD,20191101,12.16,12.16,11.79,11.79,2610,23.10,23.10,22.40,22.40,0,0,0
KHD,20191031,10.68,12.15,10.52,12.16,5280,20.30,23.10,20.00,23.10,0,1900,0
